      i          x1i          x2i          x3i          x1i+1        x2i+1        x3i+1        Err1        Err2        Err3        Time  
 21.000000   89487876079.136368   94549756845.378998   -417881084648.841550   323331327812.462520   341620560996.813720   -1509858674703.135000   233843451733.326170   247070804151.434690   1091977590054.293300     0.377976   
 22.000000   323331327812.462520   341620560996.813720   -1509858674703.135000   1168238113715.321300   1234319490467.299100   -5455315641968.878900   844906785902.858640   892698929470.485350   3945456967265.744100     0.352283   
 23.000000   1168238113715.321300   1234319490467.299100   -5455315641968.878900   4220996151510.580100   4459756754958.119100   -19710764492134.227000   3052758037795.258800   3225437264490.819800   14255448850165.348000     0.378927   
 24.000000   4220996151510.580100   4459756754958.119100   -19710764492134.227000   15251007737185.107000   16113680831395.562000   -71217554099958.344000   11030011585674.527000   11653924076437.445000   51506789607824.125000     0.392993   
 25.000000   15251007737185.107000   16113680831395.562000   -71217554099958.344000   55103873268571.789000   58220823287569.945000   -257318279765561.500000   39852865531386.680000   42107142456174.383000   186100725665603.160000     0.392536   
 26.000000   55103873268571.789000   58220823287569.945000   -257318279765561.500000   199097456478000.560000   210359402035421.620000   -929724390823259.750000   143993583209428.780000   152138578747851.690000   672406111057698.250000     0.391005   
 27.000000   199097456478000.560000   210359402035421.620000   -929724390823259.750000   719364988787847.120000   760055861905788.250000   -3359215068899129.500000   520267532309846.560000   549696459870366.620000   2429490678075869.500000     0.349416   
 28.000000   719364988787847.120000   760055861905788.250000   -3359215068899129.500000   2599159206993350.000000   2746180620536612.500000   -12137280672099856.000000   1879794218205503.000000   1986124758630824.200000   8778065603200727.000000     0.355631   
 29.000000   2599159206993350.000000   2746180620536612.500000   -12137280672099856.000000   9391100051563254.000000   9922307528424314.000000   -43853572662617816.000000   6791940844569903.000000   7176126907887701.000000   31716291990517956.000000     0.376571   
 30.000000   9391100051563254.000000   9922307528424314.000000   -43853572662617816.000000   33931265134193508.000000   35850586794028084.000000   -158448658083374530.000000   24540165082630256.000000   25928279265603772.000000   114595085420756700.000000     0.382606   
 31.000000   33931265134193508.000000   35850586794028084.000000   -158448658083374530.000000   122598071289346430.000000   129532829918268400.000000   -572495596688824830.000000   88666806155152928.000000   93682243124240320.000000   414046938605450370.000000     0.385552   
 32.000000   122598071289346430.000000   129532829918268400.000000   -572495596688824830.000000   442962766770556480.000000   468018951071395520.000000   -2068501003370021100.000000   320364695481210050.000000   338486121153127100.000000   1496005406681196300.000000     0.383507   
