      i          x1i          x2i          x3i          x1i+1        x2i+1        x3i+1        Err1        Err2        Err3        Time  
 26.000000   38945072424.665260   41448580987.422691   65779724556.783691   -107228305535.206390   -113669681018.821760   -182763351593.265960   146173377959.871640   155118262006.244450   248543076150.049650     0.426477   
 27.000000   -107228305535.206390   -113669681018.821760   -182763351593.265960   296433032621.087710   315170005821.158870   501851501365.274840   403661338156.294070   428839686839.980590   684614852958.540770     0.443330   
 28.000000   296433032621.087710   315170005821.158870   501851501365.274840   -817021507177.433720   -866757356894.424930   -1390159566389.108200   1113454539798.521500   1181927362715.583700   1892011067754.383100     0.419012   
 29.000000   -817021507177.433720   -866757356894.424930   -1390159566389.108200   2256916923292.533200   2398227093310.433100   3825804331455.425800   3073938430469.966800   3264984450204.858400   5215963897844.534200     0.390045   
 30.000000   2256916923292.533200   2398227093310.433100   3825804331455.425800   -6224031424756.859400   -6605683724128.922900   -10580056664864.100000   8480948348049.392600   9003910817439.355500   14405860996319.525000     0.386651   
 31.000000   -6224031424756.859400   -6605683724128.922900   -10580056664864.100000   17185740389002.023000   18256096502996.707000   29153098309528.059000   23409771813758.883000   24861780227125.629000   39733154974392.156000     0.419512   
 32.000000   17185740389002.023000   18256096502996.707000   29153098309528.059000   -47409194812515.766000   -50327958005365.430000   -80546900092487.156000   64594935201517.789000   68584054508362.133000   109699998402015.220000     0.423224   
 33.000000   -47409194812515.766000   -50327958005365.430000   -80546900092487.156000   130874858097861.590000   139001996665000.050000   222097666234875.940000   178284052910377.370000   189329954670365.470000   302644566327363.120000     0.416802   
 34.000000   130874858097861.590000   139001996665000.050000   222097666234875.940000   -361099662899867.000000   -383380127045069.000000   -613318277141786.500000   491974520997728.620000   522382123710069.060000   835415943376662.500000     0.375147   
 35.000000   -361099662899867.000000   -383380127045069.000000   -613318277141786.500000   996698404186864.500000   1058490811455633.400000   1691789875485013.500000   1357798067086731.500000   1441870938500702.200000   2305108152626800.000000     0.375720   
 36.000000   996698404186864.500000   1058490811455633.400000   1691789875485013.500000   -2750280686940638.000000   -2920185436771254.500000   -4670520040647191.000000   3746979091127502.500000   3978676248226887.500000   6362309916132204.000000     0.411854   
 37.000000   -2750280686940638.000000   -2920185436771254.500000   -4670520040647191.000000   7590705477418455.000000   8060880512156687.000000   12885977340724726.000000   10340986164359092.000000   10981065948927940.000000   17556497381371916.000000     0.427951   
