iterations       power from maximum power to 0            a            b            c            x        error         time
20.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050609
21.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050618
21.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050622
21.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050625
21.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050628
22.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050638
22.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050642
22.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050645
22.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050648
23.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050657
23.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050661
23.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050664
23.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050668
24.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050679
24.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050683
24.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050686
24.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050689
25.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050699
25.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050702
25.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050705
25.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050709
26.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050720
26.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050724
26.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050727
26.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050730
27.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050740
27.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050744
27.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050748
27.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050751
28.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050760
28.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050764
28.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050767
28.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050771
29.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050780
29.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050784
29.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050787
29.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050791
30.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050800
30.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050804
30.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050807
30.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050810
31.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050820
31.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050823
31.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050826
31.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050830
32.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050842
32.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050845
32.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050849
32.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050852
33.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050862
33.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050866
33.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050869
33.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050873
34.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050882
34.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050886
34.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050889
34.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050892
35.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050911
35.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050914
35.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050917
35.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050921
36.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050931
36.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050935
36.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050939
36.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050942
37.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050952
37.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050955
37.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050959
37.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050962
38.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050973
38.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050976
38.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050980
38.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050983
39.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050993
39.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050997
39.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.051000
39.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.051003
40.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.051014
40.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.051017
40.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.051021
40.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.051024
41.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.051035
41.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.051038
41.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.051042
41.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.051045
42.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.051056
42.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.051059
42.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.051063
42.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.051066
43.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.051076
43.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.051080
43.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.051084
43.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.051087
44.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.051098
44.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.051102
44.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.051105
44.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.051109
45.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.051119
45.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.051123
45.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.051126
45.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.051129
46.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.051140
46.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.051143
46.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.051147
46.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.051150
47.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.051166
47.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.051170
47.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.051173
47.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.051176
48.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.051188
48.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.051191
48.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.051195
48.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.051198
49.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.051209
49.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.051213
49.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.051216
49.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.051219
